================================================================================
SEASON 1 - RIDER POSITION REPORT
Each rider's current position in the seasonal standings
================================================================================

Total Riders in Season 1 Standings: 2207

--------------------------------------------------------------------------------------------------------------
Position  Rider Name                    Team                ARR   Events  Points  Type
569th     Qinru Li                      Independent         620   1       66      Bot
570th     Angelina Conner               eVOX                633   1       66      Bot
571st     Peter Kraus                   Fujikai             841   1       66      Bot
572nd     Sandra Richter                True Form           622   1       66      Bot
573rd     Théo Collard                  Ampex               922   1       66      Bot
574th     Avis Warren                   Hector              887   1       66      Bot
575th     Nitai Levy                    Independent         857   1       66      Bot
576th     Gabriel Brianti               Independent         862   2       66      Bot
577th     Rene Van den Berg             Independent         817   1       65      Bot
578th     Grigorios Athanasiou          Heat                900   1       65      Bot
579th     J D O                         DIRT                1537  1       65      Human
580th     Paul Babu                     YES                 627   1       65      Bot
581st     Sergio Martin                 Dashix              1284  1       65      Bot
582nd     Gianni Palumbo                Ampex               924   1       65      Bot
583rd     Allan Ottosen                 True Form           788   1       65      Bot
584th     Ross Collins                  Independent         1180  1       65      Human
585th     Afet Kaya                     Douvan              411   1       65      Bot
586th     Oliver Fraser                 Roklit              1233  1       65      Bot
587th     Quentin Paquot                Profitivisme        1173  1       65      Human
588th     Cody Stephenson               Your Group Ride     1009  1       65      Human
589th     Steve Lopro                   Independent         100   1       65      Human
590th     Dan Stimson                   Race3R              1221  1       65      Human
591st     Thomas Davison                Warriors            1388  1       65      Human
592nd     Yingtai Loh                   Independent         1000  1       65      Bot
593rd     Cornelia Fuller               Hinal               429   1       65      Bot
594th     Milán Németh                  Independent         1076  1       65      Bot
595th     Olivier Faure                 Nuvio               744   1       65      Bot
596th     Jeff Baumgardner              Dirty Rascals       1366  1       65      Human
597th     Morten Jarlund                indieVelo Founders  1423  1       65      Human
598th     Richard Jones                 Independent         100   1       65      Human
599th     Alfredo Monaco                Krowen              646   1       65      Bot
600th     Julian Burren                 Independent         1347  1       65      Human
601st     Cassandra Bass                Independent         396   1       65      Bot
602nd     Christian Belka               Independent         100   1       65      Human
603rd     Daniel Nyström                Independent         100   1       65      Human
604th     Beniamin Wójcik               Eckleson            868   1       65      Bot
605th     Wendi Munoz                   Independent         606   1       65      Bot
606th     Roger Blanc                   Fujikai             1062  1       65      Bot
607th     Dunja Bergmann                Meisterkuhl         630   1       65      Bot
608th     Isla Le Tissier               Independent         571   1       65      Bot
609th     Stanford Truong               Meisterkuhl         977   1       65      Bot
610th     Pylyp Polishchuk              Independent         1282  1       65      Bot
611th     Jiyoon Yu                     Independent         811   1       65      Bot
612th     Sandra Ström                  Fable               863   2       65      Bot
613th     Even Johansen                 Independent         1007  1       64      Bot
614th     Berit Engström                Independent         444   1       64      Bot
615th     Bert Van Leeuwen              Independent         1179  1       64      Bot
616th     Natalia Garzon                Independent         645   1       64      Bot
617th     Holger Mayer                  Hector              538   1       64      Bot
618th     Emilia Ekström                Independent         978   1       64      Bot
619th     Lionel Perrin                 Meisterkuhl         942   1       64      Bot
620th     Josefina Thomas               Independent         376   2       64      Bot
621st     Alexander Desmet              Independent         858   1       63      Bot
622nd     Seoyeon Yong                  Independent         653   1       63      Bot
623rd     Katerina Ljubičić             Fiber Shot          631   1       63      Bot
624th     Matthew Salazar               Titans              1249  1       63      Bot
625th     Frederic Simpson              Nuvio               1119  1       63      Bot
626th     Diana Jakobsen                Independent         785   1       63      Bot
627th     Iris Pohl                     Independent         777   1       63      Bot
628th     Bjørn Larsen                  Windsail            932   1       63      Bot
629th     Minho Ryu                     Delta               1042  1       63      Bot
630th     Frank Williams                Independent         830   1       62      Bot
631st     Jose Carmona                  Independent         721   1       62      Bot
632nd     Grant Bradley                 Independent         1237  1       62      Bot
633rd     Mitsuaki Kobayashi            Independent         1236  1       62      Bot
634th     Witold Baran                  Independent         540   1       62      Bot
635th     Jules Jacobs                  Independent         619   1       62      Bot
636th     Ivanka Abramowicz             Independent         987   1       62      Bot
637th     Toms Gailītis                 Heat                712   1       62      Bot
638th     Sanna Ahola                   Douvan              454   1       62      Bot
639th     Lasse Busch                   Independent         1206  1       62      Bot
640th     Fiorenzo Spina                Independent         1231  1       62      Bot
641st     Katie Picard                  eVOX                611   1       62      Bot
642nd     kudos games                   DIRT                1408  1       62      Human
643rd     Amparo Aranda                 eVOX                912   1       62      Bot
644th     Christian Nistri              Allkin CC           792   1       62      Human
645th     Khalid Al-Maskari             Independent         422   1       62      Bot
646th     Sten Michaelsen               Independent         1073  1       62      Bot
647th     Rudolf Dolezal                Independent         100   1       62      Human
648th     Léo Bernard                   Independent         754   1       62      Bot
649th     Jackie Ventura                Independent         1254  1       62      Bot
650th     Elizabete Gailis              Independent         508   1       62      Bot
651st     Lidia Casas                   Independent         668   1       62      Bot
652nd     Keoni Loeak                   Delta               1190  1       62      Bot
653rd     Grigorios Pappas              Kumori              350   1       62      Bot
654th     Klaus König                   Delta               884   1       62      Bot
655th     Magdalena Baumann             Independent         525   1       62      Bot
656th     Lore Desmet                   Orbit               689   1       62      Bot
657th     Hanneke Janssen               Independent         714   1       62      Bot
658th     Lisa Köhler                   Fable               637   1       62      Bot
659th     Tommy Jensen                  Independent         1011  1       62      Bot
660th     Stephan Hahn                  YES                 765   1       62      Bot
661st     Henry Gumbs                   Independent         1208  1       62      Bot
662nd     Eliel Niskanen                Optech              1077  1       62      Bot
663rd     Mika Maes                     Independent         1243  1       62      Bot
664th     Carmen De                     Nuvio               536   2       62      Bot
665th     Daniel Holdener               indieVelo Founders  653   1       61      Human
666th     Javier Fuentes                Fiber Shot          875   1       61      Bot
667th     Dobroslav Bilous              Zonkify             1190  1       61      Bot
668th     André Guerin                  Independent         1297  1       61      Bot
669th     Ludovic Giuliani              Independent         572   1       61      Bot
670th     Sherry Cano                   Independent         615   1       61      Bot
671st     Neil Erickson                 Independent         936   1       61      Bot
672nd     Eduardo Moreira               Independent         768   1       61      Bot
673rd     Arthur Paquet                 Independent         1125  1       61      Bot
674th     Nola Macdonald                Independent         446   1       61      Bot
675th     Petar Hladki                  Patriot             1127  1       61      Bot
676th     Tommy Parra                   Independent         1169  1       61      Bot
677th     Lucie Evrard                  Aria Olefson        629   1       61      Bot
678th     Willem De Brujin              Aria Olefson        1247  1       61      Bot
679th     Emil Lučić                    Roklit              428   1       61      Bot
680th     Dobroslav Košarac             Meisterkuhl         906   1       61      Bot
681st     Mathias Peters                Independent         707   1       61      Bot
682nd     Felix Krüger                  Independent         780   1       61      Bot
683rd     Stefano Battaglia             Independent         478   1       61      Bot
684th     Berry Bailey                  Independent         649   1       61      Bot
685th     Emily Flores                  Douvan              373   1       61      Bot
686th     Moises Hernandez              Heat                901   1       61      Bot
687th     Javier Roman                  Independent         894   1       61      Bot
688th     Blaine Cain                   Independent         1032  1       61      Bot
689th     Antonia Viola                 Independent         552   1       61      Bot
690th     Madeleine Mitchell            Independent         651   1       61      Bot
691st     Lindsey Pacheco               Independent         1163  1       61      Bot
692nd     Kārlis Balodis                True Form           558   1       61      Bot
693rd     Liepa Visockas                Independent         677   1       61      Bot
694th     Klaus Danielsen               Independent         906   1       61      Bot
695th     Tapio Salminen                Meisterkuhl         1217  1       61      Bot
696th     Nathan Mota                   Independent         833   1       61      Bot
697th     Luna Chaves                   Patriot             558   2       61      Bot
698th     Lazaro Miller                 Independent         1018  1       60      Bot
699th     Ahmad Oconnell                Independent         1024  1       60      Bot
700th     Ashraf Ramadan                Independent         1204  1       60      Bot
701st     Lachlan Crawford              Independent         1017  1       60      Bot
702nd     Fetu Tufuga                   AMO Solutions       1121  1       60      Bot
703rd     Fetu Vaha'akolo               Optech              969   1       59      Bot
704th     Raina Melunović               Capital             412   1       59      Bot
705th     Rayan Fontaine                Independent         967   1       59      Bot
706th     Virpi Mikkola                 Independent         581   1       59      Bot
707th     Alice Blanchard               Zonkify             612   1       59      Bot
708th     Zuhair Al-Naqbi               Ampex               796   1       59      Bot
709th     Steve Campbell                Independent         1321  1       59      Bot
710th     Christopher Diaz              Douvan              1020  1       59      Bot
711th     Nadirah Nasir                 Independent         821   1       59      Bot
712th     Elian Albrecht                Delta               1037  2       59      Bot
713th     Pierre Kasongo                Eckleson            1309  2       59      Bot
714th     Sophie Vibert                 Independent         623   2       59      Bot
715th     Perry Nelson                  Meisterkuhl         784   1       58      Bot
716th     Thomas Cameron                Independent         1200  1       58      Bot
717th     Angel Martin                  Independent         1182  1       58      Bot
718th     Megan Skelly                  Independent         596   1       58      Bot
719th     Ton Dekker                    Independent         1256  1       58      Bot
720th     Burl Gould                    Independent         902   1       58      Bot
721st     Stephen Wilcox                AI Thunder          772   1       58      Bot
722nd     Jacqueline Chambers           YES                 405   1       58      Bot
723rd     Jose Santos                   Base                1215  1       58      Bot
724th     Serge Blanc                   Independent         1029  1       58      Bot
725th     Mariah Caldeira               True Form           624   1       58      Bot
726th     Gabrielius Kazlauskas         HCOM                1317  1       58      Bot
727th     Matthew Felix                 Independent         779   1       58      Bot
728th     Xander Thomas                 Independent         1203  1       58      Bot
729th     Bjørn Pettersen               Eckleson            1181  1       58      Bot
730th     Dieter Herrmann               Independent         762   1       58      Bot
731st     Kitty Faulkner                Independent         447   1       58      Bot
732nd     Frances Peters                AMO Solutions       879   1       58      Bot
733rd     Susanna Hobbs                 Independent         760   1       58      Bot
734th     Yeonatan Katz                 Aria Olefson        725   1       58      Bot
735th     Adrian Wolf                   Independent         1165  1       58      Bot
736th     Frederic Girard               Independent         448   1       58      Bot
737th     Laura Lūsis                   Independent         637   1       58      Bot
738th     Inga Kristoffersen            Independent         318   1       58      Bot
739th     Matej Rebić                   Monova              811   1       58      Bot
740th     Elias Goossens                Independent         1139  1       58      Bot
741st     Borysko Levchenko             Independent         936   1       58      Bot
742nd     Jay Shannon                   Aguda               877   1       58      Bot
743rd     Noor Hermans                  Nitro               443   1       58      Bot
744th     Vittorio Ferrero              Independent         1152  1       58      Bot
745th     Willem Van Dam                Independent         1081  1       58      Bot
746th     Fidel Roth                    Independent         548   1       58      Bot
747th     Germaine Gauthier             Independent         562   1       58      Bot
748th     Rebecca Luna                  Zonkify             846   1       58      Bot
749th     Oliver Koch                   Titans              1166  1       58      Bot
750th     Cristian Castaño              Independent         1164  1       58      Bot
751st     Koa Rapu                      Independent         957   1       58      Bot
752nd     Ali Usmanov                   Independent         820   1       57      Bot
753rd     Eliyahu Shemesh               Eckleson            863   1       57      Bot
754th     Amit Ashknaziy                Nuvio               1013  1       57      Bot
755th     Emil Rockov                   Independent         1247  1       57      Bot
756th     Werner Kaiser                 Independent         1351  1       57      Bot
757th     Henk De Jong                  Independent         578   1       57      Bot
758th     Raimo Mustonen                Systech             629   1       57      Bot
759th     Felipe Paredes                Base                945   1       57      Bot
760th     Mickey Hogan                  Independent         731   1       57      Bot
761st     Twila Horne                   Fujikai             398   1       57      Bot
762nd     Brock Todd                    Douvan              1212  1       57      Bot
763rd     Laurie Kramer                 Independent         905   1       57      Bot
764th     Horace Hogan                  Optech              1195  1       57      Bot
765th     Ethan Appadoo                 Capital             1170  1       57      Bot
766th     Francisco Araújo              Independent         781   1       57      Bot
767th     Edward Stanley                Independent         391   1       57      Bot
768th     Erik Sund                     Coalition           794   1       57      Human
769th     Nurhayati Susanto             AI Thunder          734   1       57      Bot
770th     Mar Calderon                  Capital             777   1       57      Bot
771st     Beatriz Bernal                Independent         511   1       57      Bot
772nd     Alice Norberg                 Independent         722   1       57      Bot
773rd     Garth Love                    Independent         1154  1       57      Bot
774th     Louise Stanton                Optech              365   1       57      Bot
775th     Bence László                  Independent         874   1       57      Bot
776th     Valentino Rojas               Delta               900   1       57      Bot
777th     Anu Laur                      Independent         1008  1       57      Bot
778th     Josefa Hidalgo                Windsail            497   1       57      Bot
779th     Ilay Masarweh                 Ampex               991   1       57      Bot
780th     Olivier Denis                 Douvan              498   1       57      Bot
781st     Felix Hurst                   Independent         1217  1       57      Bot
782nd     Esther Van der Heijden        Independent         687   1       57      Bot
783rd     Christopher Bartholomew       HCOM                794   1       57      Bot
784th     Josue Mosquera                Independent         845   1       57      Bot
785th     Gail Crane                    Delta               1172  1       57      Bot
786th     Willy Atkins                  Independent         1050  1       57      Bot
787th     Antonio Lima                  Independent         1084  1       57      Bot
788th     Innocent Ndayishimiye         Independent         1089  1       57      Bot
789th     Seren Phillips                Independent         663   2       57      Bot
790th     Diedie Fam                    Independent         792   1       56      Bot
791st     Lyman Duarte                  Independent         759   1       56      Bot
792nd     Petar Šančić                  Independent         761   1       56      Bot
793rd     Paul Rajan                    Independent         1096  1       56      Bot
794th     Luan Vasconcelos              Independent         1075  1       56      Bot
795th     Danny Connor                  Pioma               1084  1       56      Bot
796th     Keith Ballard                 Independent         1278  1       56      Bot
797th     Danielle Lemaire              Independent         479   1       56      Bot
798th     Maria Marquez                 Independent         506   1       56      Bot
799th     Sofia Medina                  Hinal               609   1       56      Bot
800th     Madeleine Meunier             Aguda               592   1       56      Bot
801st     Numbers Orozco                Monova              1010  1       56      Bot
802nd     Miriam Alfaro                 Independent         847   1       56      Bot
803rd     Mini Ahmad                    Ampex               616   1       56      Bot
804th     Nena Schmidt                  True Form           799   1       56      Bot
805th     Dariusz Nowicki               Douvan              1092  1       56      Bot
806th     Albin Jonsson                 Independent         1000  1       56      Bot
807th     Hilde Kristiansen             Fable               378   1       56      Bot
808th     Anita Zakrzewska              Independent         403   1       56      Bot
809th     Scott Wright                  Independent         1194  1       56      Bot
810th     Xander Fontaine               Independent         1225  1       56      Bot
811th     Timo Neumann                  Independent         1151  1       56      Bot
812th     Graham Erskine                Aguda               1207  1       56      Bot
813th     Lotte Claes                   Fujikai             526   1       56      Bot
814th     Katie Hudson                  Monova              605   1       56      Bot
815th     Russ Ashley                   Independent         1326  1       56      Bot
816th     Marek Brozović                Fiber Shot          858   1       56      Bot
817th     Karell Hodge                  Dashix              749   1       56      Bot
818th     Angus Galloway                Independent         1131  1       56      Bot
819th     Jim Macleod                   Independent         1285  1       56      Bot
820th     Robert Peters                 YES                 1007  1       56      Bot
821st     Lucas Hermans                 Douvan              984   1       56      Bot
822nd     Veronique Lacroix             Fable               462   1       56      Bot
823rd     Rosa Rizzi                    Heat                439   1       56      Bot
824th     Marianne Bates                Independent         865   1       56      Bot
825th     Ellen Kramer                  Sherpa              948   1       56      Bot
826th     Mette Solberg                 Independent         728   1       56      Bot
827th     Jackson Short                 Douvan              803   1       56      Bot
828th     Guillaume Faure               Independent         785   1       56      Bot
829th     Martin Krajewski              True Form           768   1       56      Bot
830th     Bhargava Rai                  Zonkify             1184  1       56      Bot
831st     Ronald De Haan                Independent         1097  1       56      Bot
832nd     Younghee Bae                  Eckleson            480   1       56      Bot
833rd     Christi Rollins               Independent         457   1       56      Bot
834th     Dorian Velazquez              Independent         676   1       56      Bot
835th     Beeri Kadosh                  Independent         531   1       56      Bot
836th     Kevin Medina                  Independent         1031  1       56      Bot
837th     Jacob Robinson                Roklit              1139  1       56      Bot
838th     Amna Chaudhry                 Independent         379   1       56      Bot
839th     Lea Riedel                    Independent         289   1       56      Bot
840th     thimo willems                 Independent         100   1       56      Human
841st     Celestin Mbayo                Independent         770   1       56      Bot
842nd     Ulysses Cantu                 Heat                1075  1       56      Bot
843rd     Daniel Kanku                  Independent         1046  1       56      Bot
844th     Alphonse Madden               Fujikai             1151  1       56      Bot
845th     Haojin Sii                    Independent         675   1       56      Bot
846th     Viktor Magnusson              Independent         963   1       56      Bot
847th     Bjarke Mouritsen              Independent         698   1       56      Bot
848th     Andre Willems                 Independent         1183  1       56      Bot
849th     Katrina Brennan               Independent         549   1       56      Bot
850th     Jose Avila                    Independent         443   1       56      Bot
851st     Ismo Suominen                 Fiber Shot          917   1       56      Bot
852nd     Earl Ellison                  Independent         1236  1       56      Bot
853rd     Sarah Lacroix                 Independent         787   1       56      Bot
854th     Alejo Aguirre                 Independent         690   1       55      Bot
855th     Bert Verhoeven                Dashix              1158  1       55      Bot
856th     Jes Clemmensen                Meisterkuhl         1041  1       55      Bot
857th     Yeong Paeng                   Independent         1288  1       55      Bot
858th     Reda Al-Taniji                Independent         609   1       55      Bot
859th     Jasmin Hartmann               Independent         626   1       55      Bot
860th     Clara Garcia                  Independent         784   1       55      Bot
861st     Scotty Alexander              Independent         1017  1       55      Bot
862nd     Hawa Kollie                   Eckleson            414   1       55      Bot
863rd     Giotto D'Angelo               Independent         1207  1       55      Bot
864th     Nikolaj Laugesen              Independent         1115  1       55      Bot
865th     Yiting Cheong                 Independent         539   1       55      Bot
866th     Adam Leroy                    Independent         856   1       55      Bot
867th     Momchil Mustafa               Independent         1177  1       55      Bot
868th     Kian Fuchs                    Independent         829   1       55      Bot
869th     Callum Taylor                 Independent         768   1       55      Bot
870th     Lucie Claeys                  Systech             701   1       55      Bot
871st     Sara Laustsen                 Hinal               790   1       55      Bot
872nd     André Martinez                Independent         1243  1       55      Bot
873rd     Wilmer Amaya                  Roklit              1242  1       55      Bot
874th     Errol Bryan                   Independent         569   1       55      Bot
875th     Laura Virtanen                Sherpa              684   1       55      Bot
876th     Seojoon Rim                   Aria Olefson        1329  1       55      Bot
877th     Valentín Rojas                Independent         993   1       55      Bot
878th     Florence Morin                Independent         372   1       55      Bot
879th     Benjamin Sauer                YES                 904   1       55      Bot
880th     Salvatore Galli               Meisterkuhl         1007  1       55      Bot
881st     Trey Foley                    Independent         1088  1       55      Bot
882nd     Jan Foser                     Independent         1056  1       55      Bot
883rd     Anne-Marie Walsh              Independent         593   1       55      Bot
884th     Jim Wilson                    Independent         1015  1       55      Bot
885th     Anna Tuominen                 Monova              923   1       55      Bot
886th     Robin Seifert                 Douvan              458   1       55      Bot
887th     Valentina Szervánszky         Independent         897   1       55      Bot
888th     Roderick Malone               Fiber Shot          988   1       55      Bot
889th     Curt McCullough               Heat                1205  1       55      Bot
890th     Urho Järvinen                 Systech             850   1       55      Bot
891st     Valarie Reynolds              Krowen              728   1       54      Bot
892nd     Carla Visser                  Independent         830   1       54      Bot
893rd     Helena Graf                   Independent         866   1       54      Bot
894th     Yumi Pyeon                    Independent         759   1       54      Bot
895th     Birger Olesen                 Independent         1218  1       54      Bot
896th     Nitai Ezra                    Independent         1112  1       54      Bot
897th     Loretta Stark                 Independent         1038  1       54      Bot
898th     Denis Quinn                   Independent         606   1       54      Bot
899th     Kerstin Friedrich             Independent         578   1       54      Bot
900th     Rostyslav Kostenko            Hinal               676   1       54      Bot
901st     Connie Klein                  Independent         644   1       54      Bot
902nd     Henri Olivier                 eVOX                820   1       54      Bot
903rd     Madeline Trejo                Nuvio               701   1       54      Bot
904th     Ignacio Woods                 Independent         619   1       54      Bot
905th     Larry Grant                   Independent         779   1       54      Bot
906th     Siwoo Bu                      Independent         986   1       54      Bot
907th     Joey Morgan                   Independent         1047  1       54      Bot
908th     Ella Owen                     Independent         350   1       54      Bot
909th     Suzette Simpson               Independent         450   1       54      Bot
910th     Hyeon Sang                    Saitama             1180  1       54      Bot
911th     Hans Nagel                    Krowen              597   1       54      Bot
912th     Róisín Smith                  Pioma               659   1       54      Bot
913th     Cherie Garrett                Nitro               940   1       54      Bot
914th     Louane Simon                  Ampex               845   1       54      Bot
915th     Filip Đurišić                 Fujikai             1020  1       54      Bot
916th     Pavel Semenov                 Independent         791   1       54      Bot
917th     Tupou Funaki                  Independent         428   1       54      Bot
918th     Camila Jesus                  Heat                459   1       54      Bot
919th     Corina Yang                   Delta               774   1       54      Bot
920th     Polly Matthews                Systech             881   1       54      Bot
921st     Alea Keller                   Independent         770   1       54      Bot
922nd     Pablo Reyes                   Systech             579   1       54      Bot
923rd     Amine Backer                  Titans              713   1       54      Bot
924th     Chinhwa Deungjeong            AI Thunder          754   1       54      Bot
925th     David Almeida                 Patriot             1279  1       54      Bot
926th     Juan Mamani                   True Form           1313  1       54      Bot
927th     Juan Montes                   Independent         1075  1       54      Bot
928th     Thomas French                 Base                1052  1       54      Bot
929th     William Thomas                Pioma               451   1       54      Bot
930th     Giuliana Grillo               Independent         509   1       54      Bot
931st     Peter Schmid                  Independent         578   1       54      Bot
932nd     Carmen Gordon                 Independent         671   1       54      Bot
933rd     Ange PESSION                  Riders Givrés du T  1271  1       54      Human
934th     Maarten Van der Linden        Dashix              1099  1       54      Bot
935th     Lev Spivak                    Independent         1187  1       54      Bot
936th     Martin Armstrong              Independent         937   1       54      Bot
937th     Haewon Ye                     Aguda               280   1       54      Bot
938th     Barbara Elliott               Independent         376   1       54      Bot
939th     Janko Kucka                   Krowen              1240  1       54      Bot
940th     Gabriel Garnier               AMO Solutions       952   1       54      Bot
941st     Stepan Yshchenko              Monova              1129  1       54      Bot
942nd     Arvid Nilsson                 Heat                985   1       54      Bot
943rd     Fred Liu                      Independent         1102  1       54      Bot
944th     Leon Laugesen                 Independent         858   1       54      Bot
945th     Mina Yun                      Independent         635   1       54      Bot
946th     Goran Ješić                   Orbit               1199  1       54      Bot
947th     Claire Leduc                  Independent         583   1       54      Bot
948th     Stan Barajas                  Independent         1016  1       54      Bot
949th     John Blom                     Aguda               1113  1       54      Bot
950th     Kate Collins                  Independent         944   1       54      Bot
951st     Lewis Robertson               Independent         916   2       54      Bot
952nd     Luis Prieto                   Patriot             863   1       53      Bot
953rd     Normand Martel                Independent         593   1       53      Bot
954th     Vanessa Mosley                Independent         895   1       53      Bot
955th     Alva Baker                    Independent         1177  1       53      Bot
956th     Xavier Silva                  Independent         1228  1       53      Bot
957th     Andreas Neumann               Independent         1054  1       53      Bot
958th     Rune Aerts                    Independent         505   1       53      Bot
959th     Vilma Franco                  Independent         623   1       53      Bot
960th     Sergey Novik                  Dashix              688   1       53      Bot
961st     Noa Iwasaki                   Independent         451   1       53      Bot
962nd     Bonhwa Mu                     Sherpa              1153  1       53      Bot
963rd     Stefan Groß                   Independent         1129  1       53      Bot
964th     Gabriela Jansen               Independent         653   1       53      Bot
965th     Susanne Krog                  Independent         1016  1       53      Bot
966th     Kristaps Rudzītis             Independent         1255  1       53      Bot
967th     Felix Eberle                  Independent         1217  1       53      Bot
968th     Helena Carlsson               Independent         443   1       53      Bot
969th     Lars Dahl                     Krowen              711   1       53      Bot
970th     Nita Dennis                   Douvan              818   1       53      Bot
971st     Micah Harmon                  Independent         1303  1       53      Bot
972nd     Lennart Jansson               Independent         1078  1       53      Bot
973rd     Amanda Przybylska             Independent         509   1       53      Bot
974th     Alexandre Damme               Independent         1082  1       53      Bot
975th     Hitomi Wada                   Heat                358   1       53      Bot
976th     George Friesen                Independent         1270  1       53      Bot
977th     David Sele                    Independent         997   1       53      Bot
978th     Sergio Martini                Systech             865   1       53      Bot
979th     Madeleine Gauthier            Independent         879   1       53      Bot
980th     Anu Bat                       Meisterkuhl         441   1       53      Bot
981st     Janki Naidu                   Independent         590   1       53      Bot
982nd     Gale Orr                      Independent         534   1       53      Bot
983rd     Michelle Simon                Independent         725   1       53      Bot
984th     Ryu Sasaki                    Nitro               925   1       53      Bot
985th     Leao Kramer                   Base                1064  1       53      Bot
986th     Timur Barat                   eVOX                1143  1       53      Bot
987th     Colin York                    Independent         1050  1       53      Bot
988th     Jimin Paeng                   Roklit              784   1       53      Bot
989th     Darryl Brown                  GPC Squad           100   2       53      Human
990th     Thomas Jansen                 eVOX                692   1       52      Bot
991st     Abdoulie Bahs                 Ampex               897   1       52      Bot
992nd     Giulia Barbieri               Fable               949   1       52      Bot
993rd     Jan Peters                    Independent         894   1       52      Bot
994th     Jokūbas Petrauskas            Independent         1093  1       52      Bot
995th     Khurram Salem                 AI Thunder          1261  1       52      Bot
996th     Bert Jacobs                   Hinal               1081  1       52      Bot
997th     Lucien Lalonde                Independent         1301  1       52      Bot
998th     Astrid Nordström              Monova              1088  1       52      Bot
999th     Menachem Eliyahu              Base                565   1       52      Bot
1000th    Vaine Hosking                 Independent         523   1       52      Bot
1001st    Alisa Chan                    Independent         624   1       52      Bot
1002nd    Petter Hagen                  Independent         664   1       52      Bot
1003rd    Enrique Medina                Aguda               977   1       52      Bot
1004th    Jamaal Andrews                Independent         815   1       52      Bot
1005th    Jean Blanc                    Independent         647   1       52      Bot
1006th    Esteban Parks                 Independent         685   1       52      Bot
1007th    Malik Singh                   Independent         1112  1       52      Bot
1008th    David Clercq                  Independent         1182  1       52      Bot
1009th    Marta Perišić                 Independent         388   1       52      Bot
1010th    Kristin Lindström             Kumori              421   1       52      Bot
1011th    Tapio Partanen                Independent         1167  1       52      Bot
1012th    Roy Harrison                  Independent         1199  1       52      Bot
1013th    Rajeev Al Romaihi             Independent         1192  1       52      Bot
1014th    Maui Vaihotu                  Independent         1187  1       52      Bot
1015th    Kazimir Plakalović            Independent         1066  1       52      Bot
1016th    Rod West                      AMO Solutions       1102  1       52      Bot
1017th    Marguerite Rasmussen          Independent         621   1       52      Bot
1018th    Louise Claeys                 Independent         574   1       52      Bot
1019th    Frédéric Roche                Monova              1364  1       52      Bot
1020th    Pascal Dupont                 Zonkify             966   1       52      Bot
1021st    Jordan Kühn                   Independent         756   1       52      Bot
1022nd    Joshua Mohit                  Ampex               1234  1       52      Bot
1023rd    Benjamin Mizrahi              Independent         861   1       52      Bot
1024th    Patricia De Jonge             Hector              889   1       52      Bot
1025th    Pieteer De Jong               True Form           418   1       52      Bot
1026th    Nina Schröder                 True Form           459   1       52      Bot
1027th    Levi Scott                    Independent         776   1       52      Bot
1028th    Shirley Ruiz                  Independent         794   1       52      Bot
1029th    Angela Fernandes              Independent         668   1       52      Bot
1030th    Susan Aro                     Independent         785   1       52      Bot
1031st    Per Olav Meder Kalvaa         Allkin Racing       1280  1       52      Human
1032nd    David Beck                    Independent         1074  1       52      Bot
1033rd    Angel Banks                   Independent         1015  1       52      Bot
1034th    Dorthe Hansen                 Independent         500   1       52      Bot
1035th    Antoinette Moody              Independent         440   1       52      Bot
1036th    Delphine Gaillard             Eckleson            575   1       52      Bot
1037th    Lola Michel                   Meisterkuhl         566   1       52      Bot
1038th    Luke Mizzi                    Independent         1035  1       52      Bot
1039th    Jens Lenz                     Independent         1011  1       52      Bot
1040th    Alina Kunz                    Independent         378   1       52      Bot
1041st    Mariama Adamou                Independent         861   1       52      Bot
1042nd    Adrian Albrecht               Independent         973   1       52      Bot
1043rd    Bauro Tamuera                 Independent         1194  1       52      Bot
1044th    Shuto Masuda                  Fable               1036  1       52      Bot
1045th    Niklas Fredriksson            Independent         883   1       52      Bot
1046th    Ruby Du Feu                   Independent         360   1       52      Bot
1047th    Oona Kärkkäinen               Independent         630   1       52      Bot
1048th    Eevi Peltonen                 Independent         459   1       52      Bot
1049th    Aleksander Lie                Independent         735   1       52      Bot
1050th    Milos Valeska                 Independent         1041  1       52      Bot
1051st    Alea Berger                   Independent         818   1       52      Bot
1052nd    Verner Krog                   Independent         753   1       51      Bot
1053rd    Paola Rosso                   Independent         743   1       51      Bot
1054th    Rocky Palmieri                Independent         997   1       51      Bot
1055th    Andrea Napolitano             Independent         1164  1       51      Bot
1056th    Frits Kristensen              Heat                1316  1       51      Bot
1057th    Egon Mogensen                 Saint               1153  1       51      Bot
1058th    Violante Martino              Independent         580   1       51      Bot
1059th    Caroline Verhoeven            Independent         659   1       51      Bot
1060th    Boyd Townsend                 AMO Solutions       998   1       51      Bot
1061st    Tohar Ezra                    Aspire              694   1       51      Bot
1062nd    Logan Quirk                   Independent         426   1       51      Bot
1063rd    Enzo Andre                    Orbit               1019  1       51      Bot
1064th    Betty Singh                   Nitro               522   1       51      Bot
1065th    Oliver Glover                 Independent         918   1       51      Bot
1066th    Radmila Sojka                 Heat                833   1       51      Bot
1067th    Fiorella Rossi                Independent         441   1       51      Bot
1068th    Ronald Bacchus                eVOX                734   1       51      Bot
1069th    Leah Mackenzie                Independent         612   1       51      Bot
1070th    Sophia Kunz                   Independent         494   1       51      Bot
1071st    Mollie Lewis                  Independent         521   1       51      Bot
